b,30.83,0,u,g,w,v,1.25,t,202,0,+
a,58.67,4.46,u,g,q,h,3.04,t,43,560,+
a,24.5,0.5,u,g,q,h,1.5,t,280,824,+
b,27.83,1.54,u,g,w,v,3.75,t,100,3,+
b,20.17,5.625,u,g,w,v,1.71,t,120,0,+
b,32.08,4,u,g,m,v,2.5,t,360,0,+
b,33.17,1.04,u,g,r,h,6.5,t,164,31285,+
a,22.92,11.585,u,g,cc,v,0.04,t,80,1349,+
b,54.42,0.5,y,p,k,h,3.96,t,180,314,+
b,42.5,4.915,y,p,w,v,3.165,t,52,1442,+
b,22.08,0.83,u,g,c,h,2.165,f,128,0,+
b,29.92,1.835,u,g,c,h,4.335,t,260,200,+
a,38.25,6,u,g,k,v,1,t,0,0,+
b,48.08,6.04,u,g,k,v,0.04,f,0,2690,+
a,45.83,10.5,u,g,q,v,5,t,0,0,+
b,36.67,4.415,y,p,k,v,0.25,t,320,0,+
b,28.25,0.875,u,g,m,v,0.96,t,396,0,+
a,23.25,5.875,u,g,q,v,3.17,t,120,245,+
b,21.83,0.25,u,g,d,h,0.665,t,0,0,+
a,19.17,8.585,u,g,cc,h,0.75,t,96,0,+
b,25,11.25,u,g,c,v,2.5,t,200,1208,+
b,23.25,1,u,g,c,v,0.835,t,300,0,+
a,47.75,8,u,g,c,v,7.875,t,0,1260,+
a,27.42,14.5,u,g,x,h,3.085,t,120,11,+
a,41.17,6.5,u,g,q,v,0.5,t,145,0,+
a,15.83,0.585,u,g,c,h,1.5,t,100,0,+
a,47,13,u,g,i,bb,5.165,t,0,0,+
b,56.58,18.5,u,g,d,bb,15,t,0,0,+
b,57.42,8.5,u,g,e,h,7,t,0,0,+
b,42.08,1.04,u,g,w,v,5,t,500,10000,+
b,29.25,14.79,u,g,aa,v,5.04,t,168,0,+
b,42,9.79,u,g,x,h,7.96,t,0,0,+
b,49.5,7.585,u,g,i,bb,7.585,t,0,5000,+
a,36.75,5.125,u,g,e,v,5,t,0,4000,+
a,22.58,10.75,u,g,q,v,0.415,t,0,560,+
b,27.83,1.5,u,g,w,v,2,t,434,35,+
b,27.25,1.585,u,g,cc,h,1.835,t,583,713,+
